Time,Boost pressure bar,Boost pressure setpoint bar,Control deviation of the boost pressure regulator - bank-specific bank 1 bar
64.8340,0.10,0.02,8.11
65.0690,0.10,0.02,8.11
65.2910,0.10,0.02,8.11
65.5060,0.10,0.02,8.11
65.7130,0.10,0.02,8.11
65.9470,0.10,0.02,8.11
66.1870,0.10,0.02,8.11
66.4130,0.09,0.02,8.11
66.6410,0.09,0.02,8.11
66.8570,0.09,0.02,8.12
67.0780,0.09,0.02,8.12
67.3030,0.09,0.02,8.12
67.5230,0.09,0.02,8.12
67.7500,0.09,0.02,8.12
67.9760,0.09,0.00,8.12
68.1960,0.09,0.00,8.14
68.4120,0.04,0.00,8.14
68.6230,0.04,0.02,8.14
68.8150,0.04,0.02,8.18
69.0150,0.02,0.02,8.18
69.2410,0.02,0.02,8.18
69.4730,0.02,0.02,0.00
69.7030,0.02,0.02,0.00
69.9200,0.02,0.02,0.00
70.1340,0.02,0.02,8.19
70.3460,0.02,0.02,8.19
70.5620,0.02,0.02,8.19
70.8100,0.02,0.02,8.19
71.0480,0.02,0.02,8.19
71.2180,0.02,0.02,8.19
71.4040,0.02,0.02,0.00
71.5990,0.02,0.02,0.00
71.8000,0.02,0.02,0.00
72.0170,0.02,0.02,0.00
72.2440,0.02,0.02,0.00
72.4760,0.02,0.00,0.00
72.7160,0.02,0.00,8.17
72.9400,0.02,0.00,8.17
73.1600,0.02,0.00,8.17
73.3820,0.02,0.00,8.17
73.6020,0.02,0.00,8.17
73.8140,0.02,0.00,8.17
74.0340,0.02,0.00,8.17
